"runId","kind","runDir","horizon","folds","embargo","grid","selectedThreshold","selectionMode","constraintsSatisfied","trades","netReturnPct","profitFactor","maxDrawdownPct","stressNetReturnPct","stressProfitFactor","score"
"R01","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R01-dev","3","5","5","0.45,0.50,0.55,0.60","0.6","fallback-risk-first","False","0","0","0","0","0","0","-25"
"R02","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R02-dev","6","5","5","0.45,0.50,0.55,0.60","0.6","fallback-risk-first","False","0","0","0","0","0","0","-25"
"R03","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R03-dev","12","5","5","0.40,0.45,0.50,0.55","0.55","fallback-risk-first","False","0","0","0","0","0","0","-25"
"R04","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R04-dev","6","6","5","0.40,0.45,0.50,0.55","0.55","fallback-risk-first","False","0","0","0","0","0","0","-25"
"R05","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R05-dev","6","6","10","0.45,0.50,0.55,0.60","0.6","fallback-risk-first","False","0","0","0","0","0","0","-25"
"R06","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R06-dev","12","6","10","0.40,0.45,0.50,0.55","0.55","fallback-risk-first","False","0","0","0","0","0","0","-25"
"R07","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R07-dev","18","5","10","0.40,0.45,0.50,0.55","0.55","fallback-risk-first","False","0","0","0","0","0","0","-25"
"R08","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R08-dev","24","5","10","0.35,0.40,0.45,0.50","0.5","fallback-risk-first","False","1044","-77.7539","0.7559","-69.5771","-114.2939","0.6629","-237.5288"
"R09","dev","c:\moschops_01\docs\09-training-runs\runs\2026-05-27_21-29-ts003-h4-lab\R09-dev","9","7","10","0.45,0.50,0.55,0.60","0.55","fallback-risk-first","False","0","0","0","0","0","0","-25"
